Microsoft,1975, Software,new,North America
Telmex,1990, Communications,privatization,Latin America
Zara,1975,Fashion,new,Europe
Berkshire Hathaway,1839, Finance,aquired,North America
Oracle,1977, software, new,North America
Koch industries,1940,  Oil refining,new,North America
Las Vegas Sands,1952, casinos, acquired,North America
Walmart,1962, retail, new,North America
L'Oreal,1909,cosmetics,new,Europe
 H&M,1947, fashion, new,Europe
LVMH,1987,luxury goods,acquired,Europe
Bloomberg,1981, finance, new,North America
Google,1998, technology, new,North America
Amazon,1995, technology, new,North America
Cheung Kong,1950,real estate,new,East Asia
 Facebook,2004, technology, new,North America
Ferrero spa,1946,chocolates,new,Europe
Dangote Group,1981,"commodities (sugar, cement flour)",new,Sub-Saharan Africa
Aldi Sud,1914,groceries,new,Europe
Icahn Enterprises,1968,investment (via holding company),new,North America
Soros Fund Management,1969,hedge funds,new,North America
Thomson Corporation (now Thomson Reuters),1934,media,acquired,North America
K. Wah Group,1955,"construction, hotels, gaming",new,East Asia
Schwarz Group,1930,groceries,new,Europe
Kingdom Holding Company,1980,construction/real estate/banking,new,Middle East/North Africa
"Mars, Incorperated",1911,candy,new,North America
Ambev,1999,investment banking/beer,aquired,Latin America
Henderson Land Development,1976,real estate,new,East Asia
Aldi Nord,1913,groceries,new,Europe
?Luxottica,1961,glasses,new,Europe
Renova Group,1990,"aluminum, oil",new,North America
Metalloinvest,1999,metals,new,Europe
Reliance,1980,textiles,new,South Asia
Softbank,1981,technology,new,East Asia
Otto Group,1949,mail order retail,new,Europe
Nike,1964,apparel,new,North America
Fast Retailing/Uniqlo,1963,apparel,new,East Asia
Hancock Prospecting,1955,mining,new,North America
Alfa Group,1989,investment banking,new,Europe
Dell,1984,technology,new,North America
BMW,1916,cars,new,Europe
Fidelity Investments,1946,investment banking,new,North America
ArcelorMittal,1989,steel,new,South Asia
NLMK,1992,steel,aquired,Europe
Chow Tai Fook Enterprises,1929,real estate,new,East Asia
Banco Safra (now Saftra Group),1955,banking,new,Latin America
Novatek,1994,gas,new,Europe
Cox Enterprises,1898,media,aquired,North America
"Pinault-Printemps-Redoute (PPR), now known as Kering",1963,apparel,new,Europe
Antofagasta PLC,1888,mining,aquired,Latin America
Wipro Limited,1945,software,new,South Asia
Gunvor Group,2000,oil trading,new,Europe
MIDROC,1970,construction/real estate,new,Middle East/North Africa
Dalian Wanda Group,1988,real estate,new,East Asia
dish networtk,1980,media,new,North America
Grupo Mexio,1978,copper,new,Latin America
Continental Resources,1967,oil,new,North America
Irvine Company,1864,real estate,aquired,North America
Bridgewater Associates,1975,hedge funds,new,North America
Schaeffler Group,1946,roller bearings,new,Europe
"Grupo Aval Acciones y Valores, SA",1971,banking,aquired,Latin America
Apple,1976,technology,new,North America
MacAnderws and Forbes Holdings,1980,holding company,aquired,North America
Dassault Group,1914,aviation,new,Europe
Frontline Ltd.,1985,oil tankers,aquired,Europe
Lukoil,1990,oil,new,Europe
Paulson & Co.,1994,hedge funds,new,North America
News Limited,1923,media,new,North America
Tencent,1998,internet,new,East Asia
Grosvenor Group,1677,real estate,new,Europe
Sun Pharmaceutical Industries,1983,pharmaceuticals,new,South Asia
Enterprise,1957,rental cars,new,North America
?Shapoorji Pallonji Group,1865,construction,new,Europe
Sun Hung Kai Properties,1963,real estate,new,East Asia
Interros,1991,private investment company,new,Europe
Renaissance Technologies,1982,hedge funds,new,North America
System Capital Management Group,2000,industrial manufacturing and banking,,Europe
Penoles,1960,mining,privatization,Latin America
Baidu,2000,internet,new,East Asia
Serono,1906,pharmaceuticals,new,Europe
Tetra Pak,1944,food packaging,new,Europe
Hangzhou Wahaha Group,1987,beverages,new,East Asia
Trans-World Metals,1990,aluminum,new,Europe
Shangri-La Hotels,1971,hotels,new,East Asia
MDM Bank,1993,banking,new,Europe
Charoen Pokphand (CP Group),1921,retail,new,East Asia
SM Malls,1960,retail,new,East Asia
Usaha Tegas Sdn Bhd,1984,real estate,new,East Asia
Santo Domingo Group,1889,beer,aquired,Latin America
Samsung,1938,electronics,new,East Asia
Prada,1913,luxury goods,new,Europe
HCL,1976,technology,new,South Asia
PPF (Prvn? privatizacn? fond),1991,investment,new,Europe
Sino Group,1970,real estate,new,East Asia
SAC Capital Advisors,1992,hedge funds,new,North America
Beal Bank,1988,real estate/banking,new,North America
Norilsk Nickel,1993,precious metals,privatization,Europe
Severstal,1993,mining,privatization,Europe
Synthes USA,1974,medical technology,new division,Europe
Heineken International,1864,beer,new,Europe
Kuhne + Nagel,1890,transportation,new,Europe
Circle A Drilling,1961,"oil, railroad, investments",aquired,North America
Alliance Boots,1849,pharmaceuticals,aquired,Europe
Hanergy Solar,1994,energy,new,East Asia
Magnit,1994,retail,new,Europe
Lego,1949,toys,new,Europe
H-E-B supermarket,1905,groceries,new,North America
Perenco,1975,oil,new,Europe
Appaloosa Management,1993,hedge funds,new,North America
Kaiser-Francis Oil Company,1940,oil,new,North America
Hinduja Group,1914,"media, exports",new,Europe
Alibaba group,1999,internet,new,East Asia
American Pharmaceutical Partners ,1997,healthcare,new,North America
Blackstone Group,1985,private equity,new,North America
Armani,1975,luxury goods,new,Europe
Kinder Morgan Energy Partners,1997,energy,new,North America
Want Want China,1962,food,new,East Asia
google,1998,technology,new,North America
Rakuten,1997,e-commerce,new,East Asia
Advance Publications,1909,media,new,North America
Red Bull,1984,beverages,new,Europe
Globo Organizations,1925,media,new,Latin America
Millhouse LLC,1988,private investment company,new,Europe
Chanel,1909,luxury goods,new,Europe
ThaiBev,1941,alcohol,privatization,East Asia
Fininvest,1978,media,new,Europe
Sistema/Sitronics,1993,technology,new,Europe
Uralkali,1930,fertilizer,aquired,Europe
SAP AG,1972,software,new,Europe
Interactive Brokers,1977,stock brokerage,new,North America
Ratiopharm,1881,pharmaceuticals,new,Europe
Axel Johnson Group,1873,trade investment,new,Europe
George Weston Limited,1882,food distribution,new,North America
Meijer,1934,groceries,new,North America
CLP Holdings,1901,utilities,new,East Asia
"Paypal, SpaceX, Tesla Motors",1999,technology,new,North America
Chinese Estates Holdings,1978,real estate,new,East Asia
"Allianz, Merk Finck & Co",1890,banking/insurance,new,Europe
Grupo Salinas/Group Elektra,1906,telecommunications,new,Latin America
Metallionvest,1999,mining,new,Europe
Ebay,1995,e-commerce,new,North America
Iliad,1999,internet service provider,new,Europe
Louis-Dreyfus Goup,1851,"commodities (wheat, oil, shipping)",new,Europe
Goupe Castel,1949,beverages,new,Europe
Lactalis,1933,cheese,new,Europe
PeopleSoft,1987,software,new,North America
JCDecaux,1964,advertising,new,Europe
Adolf Wurth Group,1945,screws,new,Europe
Laboratories Servier,1954,pharmaceuticals,new,Europe
Rembrandt Group,1940,tobacco/luxury brands,new,Sub-Saharan Africa
Djarum,1951,tobacco,new,East Asia
Fubon Financial holding Company,1961,banking,new,East Asia
Franklin Resources,1947,mutal funds,new,North America
SAS institute,1976,software,new,North America
Tele-Communications Inc,1968,telecommunications,merger,North America
Menards,1972,hardware stores,new,North America
Est?Lauder,1946,makeup,new,North America
Bollore,1822,paper manufacturing/investment,new,Europe
Jim Pattison Group,1961,autos,new,North America
Perfetti Van Melle,1946,candy,new,Europe
Knorr-Bremse AG,1905,brake systems,new,Europe
Novomatic Automatenhandels AG,1980,gaming,new,Europe
Worldwide Shipping Group,1955,real estate,new,East Asia
Midea,1968,appliances,new,East Asia
Zodiac Maritime Agencies,1950,shipping,new,Middle East/North Africa
Rank Group,1987,private equity,new,North America
Aditya Birla Group,1857,cement,new,South Asia
Ralph Lauren,1967,clothing,new,North America
Cadogan Estates,1712,real estate,new,Europe
"Kaufman and Broad, SunAmerica",1957,construction/insurance,new/aquired,North America
Amway,1959,consumer goods,new,North America
Gazprom,1989,oil,state owned enterprise,Europe
Great Wall Motors,1984,autos,privatization,East Asia
Country Garden Holdings,1997,property development,new,East Asia
Hyundai,1967,cars,new,East Asia
Facebook,2004,internet,new,North America
WhatsApp,2009,mobile app,new,North America
Orascom,1950,construction,new,Europe
De Beers,1888,diamonds,new ,Sub-Saharan Africa
Keyence,1974,technology,new,East Asia
Consolidated Press Holdings Limited,1936,media,aquired,North America
Carnival Corporation,1972,cruises,new,North America
SibAl,1994,aluminum,new,Europe
FEMSA,1890,beverages,new,Latin America
Sociedade de Turismo e Divers?es de Macau,1962,gaming,new,East Asia
Hong Leong Financial Group,1963,financial services,new,East Asia
Enterprise Products,1968,natural gas,new,North America
Kohler Company,1873,manufacturing,new,North America
Glencore Xstrata,1974,mining,new,North America
Techint,1945,steel,new,Europe
Altice,1994,telecommunications,new,Europe
Chick-fil-A,1946,restaurants,new,North America
National Amusements,1936,media,new,North America
Asylum Records/Geffen Records/Dreamworks,1970,entertainment,new,North America
Ural Mining and Metallurgical Company,1999,mining,new,Europe
Asia Brewery,1982,beverages,new,East Asia
LeFrack ,1883,real estate,new,North America
Hostpital Corporation of America,1968,hospitals,new,North America
Fuwah International Group,1988,real estate,new,East Asia
Estat Digiphone (O2),1997,telecommunications,new,Europe
Rosuglesbyt,1999,coal,new,Europe
Renco,1975,investment,new,North America
J.D. Irving,1882,timber,new,North America
Charles Schwab Corporation,1971,brokerage/banking,new,North America
Washington Companies,1964,construction,new,North America
Cook Group,1963,medical technology,new,North America
Apollo Global management,1990,private equity,new,North America
Evergrande Group,1997,real estate,new,East Asia
Shimao Property,1988,real estate,new,East Asia
Mango,1973,fashion,new,Europe
Limited Brands,1963,clothing,new,North America
International Data Goup,1964,technology publishing,new,North America
Bharti Enterprises,1980,telecommunications,new,South Asia
Hunt Oil. Co,1934,oil,new,North America
Kroenke Sports Enterprises,1991,real estate/sports teams,new,North America
Public Bank,1966,banking,new,East Asia
Irving Oil,1924,oil,new,North America
Schroders,1800,banking,new,Europe
Bridas Energy,1948,oil,new,Latin America
Hilcorp Energy Company,1989,oil,new,North America
East Hope Group,1982,agribusiness,new,East Asia
Sports Direct,1982,sporting goods,new,Europe
Holcim,1912,cement,new,Europe
Melker Schorling AB (MSAB),1987,investment,new,Europe
The Related Companies,1972,real estate,new,North America
Foxconn,1974,technology,new,East Asia
Corticeira Amorim,1870,cork,new,Europe
Bestseller,1975,fashion,new,Europe
ISCAR,1952,industrial tools,new,Middle East/North Africa
Fortescue Metals Group,2003,iron ore,new,North America
Rossiysky Kredit,1990,metals/banking,new,Europe
Massa,1965,retail,new,Europe
Citadel LLC,1990,hedge funds,new,North America
Pontiac Land,1961,real estate,new,East Asia
Grupo Modelo,1925,beer,new,Latin America
United Overseas Bank,1935,banking,new,East Asia
Power Corporation of Canada,1925,utilities/financial services,aquired,North America
Mexichem,1998,chemicals,aquired,Latin America
Discount Tire,1960,retail,new,North America
Hobby Lobby,1970,retail,new,North America
Ferring Pharmaceuticals,1950,pharmaceuticals,new,Europe
Kohlberg Kravis Roberts,1976,leveraged buyouts,new,North America
Intel ,1968,technology,new,North America
Meriton,1968,real estate,new,North America
Tavistock Group,1975,currency trading,new,Europe
Landmark Group,1973,retail,new,South Asia
Virgin Group,1972,media,new,Europe
RIMI,1977,groceries,new,Europe
Groupe Bruxelles Lambert,1956,steel/banking,aquired,Europe
Serum Institute of India,1966,biotech,new,South Asia
Tenglemann Group,1867,retail,new,Europe
Randstad,1960,staffing company,new,Europe
Lucasfilm,1971,Star Wars,new,North America
Heinrich Deichmann-Schuhe,1913,shoes,new,Europe
Sankyo,1950,pachinko gaming machines,new,East Asia
Tana Exploration Company,1980,oil,new,North America
O.P. Jindal Group,1969,steel,new,South Asia
Essar Group,1969,steel/oil,new,South Asia
Al-Ghurair Group,1960,industrial goods,new,Middle East/North Africa
Caxton Associates,1983,commodities trading,new,North America
Ziff Davis Inc,1927,publishing,new,North America
Cargill,1865,food processing/commodities,new,North America
Mercadona,1977,groceries,new,Europe
BILLA,1953,groceries,new,Europe
Graff Diamonds,1960,diamonds,new,Europe
Alliance Global Group,1993,"real estate, retail",new,East Asia
New Regency Films,1991,movies,new,Middle East/North Africa
Westfield Group,1960,shopping centers,new,North America
Hipermercados Jumbo,1976,supermarkets,new,Latin America
Globus,1928,travel company,new,Europe
ABC Supply,1982,roofing,new,North America
Conoil/Globacom,1990,oil/telecommunications,new,Sub-Saharan Africa
Sodexo,1960,catering,new,Europe
Kingston Technology,1987,technology,new,North America
Helm AG,1950,chemicals,aquired,Europe
Dyson,1993,vacuum cleaners,new,Europe
Sobrato Organization,1979,real estate,new,North America
MGM Grand,1924,real estate,aquired,North America
Samson Investment Company,1971,oil and gas,new,North America
Majid Al Futtaim,1995,retail,new,Middle East/North Africa
Maxingvest AG,1949,coffee,new,Europe
Chief Oil and Gas ,1994,oil,new,North America
Carlson Inc,1938,hospitality,new,North America
Energy Transfer Partners,1994,gas and propane,new,North America
Maxxis,1967,tires,new,East Asia
Stena Sphere,1939,shipping,new,Europe
Saputo Inc,1954,cheese,new,North America
Fosun Group,1992,investment,new,East Asia
IOI Group,1969,palm oil/real estate,new,East Asia
Sany Heavy Industry,1989,heavy manufacturing,new,East Asia
Tudor Investment Corporation,1980,hedge funds,new,North America
Equity Group Investments,1968,real estate,new,North America
Tashir Group,1999,real estate,new,Europe
BYD Company,1995,mobile phone batteries,new,East Asia
Mori Building,1959,construction,new,East Asia
Formula One Group,1978,racing,aquired,Europe
Bertelsmann,1835,media,new,Europe
International Containter Terminal Services,1940,port containers,new,East Asia
Axel Sbringer AG,1946,publishing,new,Europe
Aurrera,1958,supermarkets,new,Latin America
Hartz Group,1926,"pet supplies, real estate",new,North America
Union Bank of Taiwan,1989,banking/publishing,new,East Asia
First Allied Corporation,1984,"investments/real estate, sports teams",new,North America
United Internet,1988,internet provider,new,Europe
Lerner Enterprises,1952,real estate,new,North America
Amer International Group,1994,copper/mining,new,East Asia
NetEase,1997,internet,new,East Asia
JCB,1945,"heavy equiptment (excavators, backhoes and tractors)",new,Europe
Quanta Computer,1988,laptops,new,East Asia
Steinmetz Diamond Group and BSGR,1940,diamonds,new,Middle East/North Africa
M. Dias Branco S.A.,1927,food production,new,Latin America
IKEA,1943,furniture,new,Europe
Flex-N-Gate,1956,auto parts,aquired,North America
"SGM Group, Mostotrest, TPS Avia",1930,construction,"new, privitization",Europe
EF Education,1977,"education, language schools",new,Europe
Para Group (aka CT Corp),1987,investment banking,new,East Asia
BASF/Boehringer Mannheim/DePuy,1865,pharmaceuticals,new,Europe
Press Holdings,1968,media,new,Europe
Media Markt,1963,retail,new,Europe
Investment AB Latour,1984,security ,new,Europe
Cisneros Group,1929,media,new,Latin America
Bass Pro Shops,1972,sports retail,new,North America
JYSK,1979,retail,new,Europe
Xiaomi Tech,2010,technology,new,East Asia
General Injectables and Vaccines/Third Security LLC,1984,biotech investing,new,North America
S.F. Express,1993,express delivery services,new,East Asia
Empire Laboratories,1959,pharmaceuticals,new,North America
Och-Ziff Capital Management Group,1994,hedge funds,new,North America
The Trump Organization,1920,real estate,new,North America
Bauhaus,1960,home improvement retail,new,Europe
JG Summit Holdings,1954,"manufacturing, real estate, aviation",new,East Asia
Ingram Industries,1946,transportation,new,North America
Bechtel Corporation,1898,construction,new,North America
Institut Merieux,1897,pharmaceuticals,new,Europe
EvrazHolding,1992,steel ,aquired,Europe
Sun Microsystems,1982,microchips,new,Europe
U-haul,1945,self storage,new,North America
Danaher,1969,venture capitalist,new,North America
Reitan Group,1972,groceries,new,Europe
Hargreaves Lansdown,1981,financial services,new,Europe
Wynn Resorts (formarly Mirage Resorts),1973,casinos,new,North America
Kotak Mahindra Bank,1985,banking,new,South Asia
Grupo Petropolis,1994,beer,aquired,Latin America
Enercon,1984,wind energy,new,Europe
Storck,1903,candy,new,Europe
Cablevision and HBO,1972,media,new,North America
Quicken Loans,1985,real estate,new,North America
Hikvision,2001,security equipment,new,East Asia
Fielmann AG,1972,glasses,new,Europe
Mercury Company,1991,cigarettes,new,Europe
Unitel Interneational Holdings,1997,telecom/investments,new,Sub-Saharan Africa
GoerTek,2001,electronic componants,new,East Asia
Alibaba,1999,e-commerce,new,North America
Hyatt,1957,hotels,aquired,North America
Bouygues S.A.,1952,construction,new,Europe
Brose,1919,auto parts,new,Europe
Yildiz Holding,1944,food products,new,Middle East/North Africa
Jetro Holdings,1990,retail,aquired,Sub-Saharan Africa
Coloplast,1957,medical devices,new,Europe
Longfor Properties,1995,real estate,new,East Asia
Suning Group,1990,"retail, home appliances",new,East Asia
SOHO China,1995,real estate,new,East Asia
Thai Life,1942,life insurance,new,East Asia
D.E. Shaw & Co,1988,hedge funds,new,North America
Kiyevskaya Ploshad,0,real estate,,Europe
London & Regional Properties,1987,real estate,new,Europe
Reyes Holdings,1976,beer and food distribution,aquired,North America
Kulczyk Investments,1988,"telecom, oil, beer",privatization,Europe
Tishman Speyer,1978,real estate,new,North America
BlueCrest Capital Management,2000,hedge funds,new,Europe
LinkedIn,2002,internet,new,North America
Solow Building Company,1974,real estate,aquired,North America
International Lease Finance Corporation,1973,aircraft leasing,new,North America
,0,real estate,,Europe
China Hongqiao,1994,aluminum,new,East Asia
Godrej Group,1897,security,new,South Asia
Hexal AG,1986,pharmaceuticals,new,Europe
Home Depot,1979,home improvement retail,new,North America
Twitter,2006,internet,new,North America
GeoSouthern,1981,oil and gas,new,North America
Electronic Data Systems,1962,data processing,new,North America
Unicharm,1961,diapers,new,East Asia
Omega Advisors,1991,asset management,new,North America
Empresas Polar,1941,beer,new,Latin America
Wanxiang Group,1969,automotive parts,new,East Asia
Ito-Yokado,1961,retail,new,East Asia
Almarai,1997,dairy,new,Middle East/North Africa
Gruppo Campari,1860,spirits,new,Europe
Indorama Corporation,1973,petrochemicals and textiles,new,East Asia
Bauer Media Group,1875,media,new,Europe
Polsat,1992,television,new,Europe
Apatit,1929,fertilizer,privatization,Europe
Majestic Realty Co.,1948,real estate,new,North America
LE Lundbergforetagen AB,1944,construction,new,Europe
Saban Entertainment,1988,media,new,North America
Maruhan,1957,gaming,new,East Asia
New Balance,1972,shoes,aquired,North America
Kleinter Perkins Caufield & Byers,1972,venture capitalist,new,North America
Chadstone Shopping Center,1939,real estate,aquired,North America
Hong Tai Group,1965,real estate,new,East Asia
Ferrovial,1952,construction,new,Europe
Stryker Corporation,1941,medical supplies,new,North America
DreamWorks,1994,movies,new,North America
Xinjiang Guanghui Industry Investment Group,1989,energy,new,East Asia
Public Storage,1972,self storage,new,North America
Octapharma,1983,biopharmaceutical,new,Europe
Banco Real,1925,banking,new,Latin America
Kone Corporation,1910,"elevators, escalators, engineering",aquired,Europe
Paramount Resources,1978,petroleum,new,North America
Katz Group,1991,drug stores,franchise rights,North America
DMCI,1954,construction,new,East Asia
The Gap,1969,clothing ,new,North America
Early Light International,1972,toys,new,East Asia
Zhejiang Dahua Technology,2001,security and surveillance technology,new,East Asia
Millennium Management LLC,1989,hedge funds,new,North America
La Martiniquaise,1936,wine and spirits,new,Europe
salesforce.com,1999,cloud computing,new,North America
Benckiser,1923,consumer goods,aquired,Europe
Russneft,2002,oil/investments,new,Europe
GEA Group,1920,food and energy processess,new,Europe
Opko Health,1972,pharmaceuticals,aquired,North America
Diesel,1978,fashion,new,Europe
Ruentex Group,0,"retail, financial services, real estate",,East Asia
Enka insaat ve Sanayi,1957,construction,new,Middle East/North Africa
East Resources,1983,natural gas,new,North America
Shoprite,1979,consumer retail,aquired,Sub-Saharan Africa
Lupin Limited,1968,pharmaceuticals,new,South Asia
FedEx,1971,shipping,new,North America
"Vision Cable, Metro Mobile, Southern Union",1972,"media, pipelines",new,North America
MSC,1970,shipping,new,Europe
Horten AG,1936,retail,new,Europe
CEVITAL,1971,"manufacturing (agriculture, steel, electronics)",new,Middle East/North Africa
Tiger Management Corp,1980,hedge funds,new,North America
New Hope Group,1982,animal feed,new,East Asia
BYD,1995,automobiles,new,East Asia
EFG International,1938,shipping,new,Europe
Interpipe,1983,pipelines,new,Europe
Absolut,1993,"banking, real estate",new,Europe
BTG Pactual,2008,banking,new,Latin America
Votorantim Group,1919,"metals, paper, cement",new,Latin America
Sierra Pacific Industries,1949,"lumber, real estate",new,North America
Carlyle Group,1987,private equity,new,North America
Azrieli Group,1985,shopping centers,new,North America
Topland Group,0,real estate,new,Europe
?Rudolf WILD GmbH & Co. KG,1931,natural flavors,new,Europe
Marvel Entertainment,1998,media,aquired,North America
"Oakley, Inc",1975,apparel and eyewear,new,North America
